replications;[10, 10, 10]
size;[3680, 8000, 10]
start;1638804164.3258529
creation;0.02352619171142578
create;1638804164.349389
newblock;1638804164.411606
newblock;1638804164.467585
newblock;1638804164.5431738
newblock;1638804164.60638
newblock;1638804164.656042
newblock;1638804164.709311
newblock;1638804164.765341
newblock;1638804164.83099
newblock;1638804164.883317
newblock;1638804164.939187
newblock;1638804164.998851
newblock;1638804165.061648
newblock;1638804165.1158211
newblock;1638804165.170292
newblock;1638804165.2286139
newblock;1638804165.2902389
newblock;1638804165.342193
newblock;1638804165.40123
newblock;1638804165.47219
newblock;1638804165.5298371
newblock;1638804165.585574
newblock;1638804165.6403599
newblock;1638804165.694247
newblock;1638804165.778118
newblock;1638804165.8385448
newblock;1638804165.895018
newblock;1638804165.973717
newblock;1638804166.026732
newblock;1638804166.0815659
newblock;1638804166.148561
newblock;1638804166.224007
newblock;1638804166.2809339
newblock;1638804166.336707
newblock;1638804166.405688
newblock;1638804166.482481
newblock;1638804166.539766
newblock;1638804166.595266
newblock;1638804166.664839
newblock;1638804166.740798
newblock;1638804166.8060942
newblock;1638804166.8609412
newblock;1638804166.936809
newblock;1638804167.0171661
newblock;1638804167.0739589
newblock;1638804167.130034
newblock;1638804167.2036538
newblock;1638804167.276413
newblock;1638804167.333523
newblock;1638804167.3883982
newblock;1638804167.459667
newblock;1638804167.531304
newblock;1638804167.591993
newblock;1638804167.649206
newblock;1638804167.720829
newblock;1638804167.79723
newblock;1638804167.852386
newblock;1638804167.9092412
newblock;1638804167.982476
newblock;1638804168.058041
newblock;1638804168.118481
newblock;1638804168.176215
newblock;1638804168.253428
newblock;1638804168.322815
newblock;1638804168.378788
newblock;1638804168.4396422
newblock;1638804168.5108008
newblock;1638804168.585831
newblock;1638804168.643212
newblock;1638804168.7093382
newblock;1638804168.7979462
newblock;1638804168.8652842
newblock;1638804168.927802
newblock;1638804169.002244
newblock;1638804169.062586
newblock;1638804169.120697
newblock;1638804169.198463
newblock;1638804169.274413
newblock;1638804169.335985
newblock;1638804169.392127
newblock;1638804169.470516
newblock;1638804169.542538
newblock;1638804169.600615
newblock;1638804169.660817
newblock;1638804169.73838
newblock;1638804169.814922
newblock;1638804169.885542
newblock;1638804169.9517639
newblock;1638804170.025558
newblock;1638804170.0893068
newblock;1638804170.1471019
newblock;1638804170.223938
newblock;1638804170.299658
newblock;1638804170.361813
newblock;1638804170.4265559
newblock;1638804170.511341
newblock;1638804170.585238
newblock;1638804170.6544158
newblock;1638804170.7621179
newblock;1638804170.868595
newblock;1638804170.929991
newblock;1638804170.9907131
newblock;1638804171.0634828
newblock;1638804171.123771
newblock;1638804171.1834471
newblock;1638804171.275164
newblock;1638804171.345162
newblock;1638804171.4115782
newblock;1638804171.486465
newblock;1638804171.571469
newblock;1638804171.634302
newblock;1638804171.700157
newblock;1638804171.779466
newblock;1638804171.841634
newblock;1638804171.902185
newblock;1638804171.985621
newblock;1638804172.0584059
newblock;1638804172.1201742
newblock;1638804172.183462
newblock;1638804172.273622
newblock;1638804172.346303
newblock;1638804172.405455
newblock;1638804172.467197
newblock;1638804172.554419
newblock;1638804172.627894
newblock;1638804172.690918
newblock;1638804172.7498398
newblock;1638804172.834077
newblock;1638804172.923271
newblock;1638804172.9934552
newblock;1638804173.058888
newblock;1638804173.1359
newblock;1638804173.196629
newblock;1638804173.261518
newblock;1638804173.348408
newblock;1638804173.419469
newblock;1638804173.48209
newblock;1638804173.542273
newblock;1638804173.629122
newblock;1638804173.705584
newblock;1638804173.771042
newblock;1638804173.832625
newblock;1638804173.912342
newblock;1638804173.97711
newblock;1638804174.044341
newblock;1638804174.128455
newblock;1638804174.1952379
newblock;1638804174.257772
newblock;1638804174.339925
newblock;1638804174.401363
newblock;1638804174.470336
newblock;1638804174.547418
newblock;1638804174.6122198
newblock;1638804174.676267
newblock;1638804174.760928
newblock;1638804174.841026
newblock;1638804174.907382
newblock;1638804174.9752471
newblock;1638804175.052365
newblock;1638804175.1160052
newblock;1638804175.179438
newblock;1638804175.2740889
newblock;1638804175.363394
newblock;1638804175.4577558
newblock;1638804175.5384629
newblock;1638804175.617332
newblock;1638804175.701725
newblock;1638804175.7811148
newblock;1638804175.845414
newblock;1638804175.909603
newblock;1638804175.9906461
newblock;1638804176.056631
newblock;1638804176.124185
newblock;1638804176.1995862
newblock;1638804176.267367
newblock;1638804176.3375318
newblock;1638804176.415193
newblock;1638804176.482802
newblock;1638804176.5455968
newblock;1638804176.628374
newblock;1638804176.6898508
newblock;1638804176.755193
newblock;1638804176.83301
newblock;1638804176.8966022
newblock;1638804176.9672608
newblock;1638804177.0450308
newblock;1638804177.10874
newblock;1638804177.173707
newblock;1638804177.255292
newblock;1638804177.318723
newblock;1638804177.387539
newblock;1638804177.469268
newblock;1638804177.532827
newblock;1638804177.600021
newblock;1638804177.681592
newblock;1638804177.749883
newblock;1638804177.8141901
newblock;1638804177.896311
newblock;1638804177.963951
newblock;1638804178.031084
newblock;1638804178.108978
newblock;1638804178.1733801
newblock;1638804178.24095
newblock;1638804178.323901
newblock;1638804178.388596
newblock;1638804178.459883
newblock;1638804178.5382578
newblock;1638804178.60752
newblock;1638804178.671838
newblock;1638804178.755075
newblock;1638804178.817646
newblock;1638804178.883222
newblock;1638804178.969717
newblock;1638804179.036119
newblock;1638804179.104264
newblock;1638804179.18049
newblock;1638804179.244456
newblock;1638804179.315145
newblock;1638804179.39455
newblock;1638804179.463988
newblock;1638804179.535418
newblock;1638804179.613827
newblock;1638804179.680264
newblock;1638804179.747124
newblock;1638804179.840835
newblock;1638804179.913604
newblock;1638804179.995175
newblock;1638804180.078144
newblock;1638804180.1436899
newblock;1638804180.211793
newblock;1638804180.3177521
newblock;1638804180.403557
newblock;1638804180.514923
newblock;1638804180.6043332
newblock;1638804180.669046
newblock;1638804180.7468789
newblock;1638804180.832497
newblock;1638804180.902657
newblock;1638804181.0028028
newblock;1638804181.105197
newblock;1638804181.201108
newblock;1638804181.300042
newblock;1638804181.367889
newblock;1638804181.445287
newblock;1638804181.551872
newblock;1638804181.6504362
newblock;1638804181.734549
newblock;1638804181.824558
newblock;1638804181.903091
newblock;1638804181.972259
newblock;1638804182.0506508
newblock;1638804182.14128
newblock;1638804182.25372
newblock;1638804182.342607
newblock;1638804182.415405
newblock;1638804182.485336
newblock;1638804182.592892
newblock;1638804182.716407
newblock;1638804182.828434
newblock;1638804182.929045
newblock;1638804183.0157409
newblock;1638804183.127455
newblock;1638804183.23237
newblock;1638804183.34639
newblock;1638804183.448606
newblock;1638804183.537801
newblock;1638804183.6351109
newblock;1638804183.702496
newblock;1638804183.7785769
newblock;1638804183.850797
newblock;1638804183.961218
newblock;1638804184.074995
newblock;1638804184.2001579
newblock;1638804184.289363
newblock;1638804184.420811
newblock;1638804184.503409
newblock;1638804184.6041138
newblock;1638804184.6840808
newblock;1638804184.792774
newblock;1638804184.869044
newblock;1638804184.95116
newblock;1638804185.044615
newblock;1638804185.125563
newblock;1638804185.1992042
newblock;1638804185.279113
newblock;1638804185.3663008
newblock;1638804185.4440079
newblock;1638804185.5339441
newblock;1638804185.611514
newblock;1638804185.6861389
newblock;1638804185.7598112
newblock;1638804185.847326
newblock;1638804185.917196
newblock;1638804186.0026371
newblock;1638804186.089091
newblock;1638804186.1749
newblock;1638804186.280372
newblock;1638804186.367312
newblock;1638804186.4560692
newblock;1638804186.559344
newblock;1638804186.6391082
newblock;1638804186.710325
newblock;1638804186.7834492
newblock;1638804186.870075
newblock;1638804186.942055
newblock;1638804187.0147939
newblock;1638804187.096234
newblock;1638804187.163808
newblock;1638804187.244221
newblock;1638804187.3241441
newblock;1638804187.3921468
newblock;1638804187.474719
newblock;1638804187.5540931
newblock;1638804187.623719
newblock;1638804187.6978638
newblock;1638804187.7803679
newblock;1638804187.849866
newblock;1638804187.926622
newblock;1638804188.0073879
newblock;1638804188.075544
newblock;1638804188.1507251
newblock;1638804188.2367969
newblock;1638804188.310157
newblock;1638804188.391328
newblock;1638804188.475337
newblock;1638804188.5459929
newblock;1638804188.629052
newblock;1638804188.7108731
newblock;1638804188.7816262
newblock;1638804188.8536901
newblock;1638804188.94101
newblock;1638804189.0115478
newblock;1638804189.088355
newblock;1638804189.16885
newblock;1638804189.2415428
newblock;1638804189.320747
newblock;1638804189.4109461
newblock;1638804189.485662
newblock;1638804189.568852
newblock;1638804189.648993
newblock;1638804189.7192802
newblock;1638804189.797215
newblock;1638804189.898227
newblock;1638804189.971071
newblock;1638804190.055987
newblock;1638804190.12877
newblock;1638804190.201866
newblock;1638804190.278771
newblock;1638804190.364416
newblock;1638804190.440882
newblock;1638804190.529349
newblock;1638804190.610733
newblock;1638804190.683739
newblock;1638804190.7624938
newblock;1638804190.844648
newblock;1638804190.913993
newblock;1638804190.990667
newblock;1638804191.076567
newblock;1638804191.147517
newblock;1638804191.227852
newblock;1638804191.314378
newblock;1638804191.386799
newblock;1638804191.46789
newblock;1638804191.547373
newblock;1638804191.632589
newblock;1638804191.739472
newblock;1638804191.818889
newblock;1638804191.888756
newblock;1638804191.966524
newblock;1638804192.054772
newblock;1638804192.132801
newblock;1638804192.2183151
newblock;1638804192.294691
newblock;1638804192.369776
newblock;1638804192.45037
newblock;1638804192.5348449
newblock;1638804192.609546
newblock;1638804192.69728
newblock;1638804192.780577
newblock;1638804192.85719
newblock;1638804192.9436312
newblock;1638804193.022398
newblock;1638804193.096155
newblock;1638804193.175495
newblock;1638804193.260743
newblock;1638804193.330976
newblock;1638804193.413263
newblock;1638804193.495862
newblock;1638804193.570339
newblock;1638804193.651103
newblock;1638804193.738837
newblock;1638804193.8136299
newblock;1638804193.8985338
newblock;1638804193.97804
newblock;1638804194.050564
newblock;1638804194.130728
newblock;1638804194.214443
newblock;1638804194.288488
newblock;1638804194.3704672
newblock;1638804194.453127
newblock;1638804194.525855
newblock;1638804194.611268
newblock;1638804194.693006
newblock;1638804194.783073
newblock;1638804194.873478
newblock;1638804194.948859
newblock;1638804195.020973
newblock;1638804195.100558
newblock;1638804195.200036
newblock;1638804195.2745202
newblock;1638804195.365004
newblock;1638804195.444118
newblock;1638804195.5216079
newblock;1638804195.61248
newblock;1638804195.702435
newblock;1638804195.77902
newblock;1638804195.871527
newblock;1638804195.952109
newblock;1638804196.025033
newblock;1638804196.124044
newblock;1638804196.228022
newblock;1638804196.3147662
newblock;1638804196.422255
newblock;1638804196.502187
newblock;1638804196.5773928
newblock;1638804196.666058
newblock;1638804196.748157
newblock;1638804196.823349
newblock;1638804196.9077199
newblock;1638804196.991294
newblock;1638804197.0698829
newblock;1638804197.1496
newblock;1638804197.233044
newblock;1638804197.307248
newblock;1638804197.3919191
newblock;1638804197.4753711
newblock;1638804197.55128
newblock;1638804197.6423628
newblock;1638804197.722616
newblock;1638804197.798838
newblock;1638804197.879447
newblock;1638804197.965045
newblock;1638804198.039018
newblock;1638804198.1235242
newblock;1638804198.214279
newblock;1638804198.287931
newblock;1638804198.373121
newblock;1638804198.45363
newblock;1638804198.529419
newblock;1638804198.625694
newblock;1638804198.710068
newblock;1638804198.7853599
newblock;1638804198.872996
newblock;1638804198.955254
newblock;1638804199.030863
newblock;1638804199.121556
newblock;1638804199.2046561
newblock;1638804199.2809029
newblock;1638804199.373735
newblock;1638804199.4529002
newblock;1638804199.526448
newblock;1638804199.6167638
newblock;1638804199.710809
newblock;1638804199.784619
newblock;1638804199.891406
newblock;1638804199.974158
newblock;1638804200.050454
newblock;1638804200.1375518
newblock;1638804200.2217941
newblock;1638804200.29324
newblock;1638804200.380085
newblock;1638804200.4646559
newblock;1638804200.5438652
newblock;1638804200.6409018
newblock;1638804200.722195
newblock;1638804200.8020449
newblock;1638804200.887278
newblock;1638804200.973944
newblock;1638804201.04889
newblock;1638804201.14187
newblock;1638804201.222929
newblock;1638804201.303798
newblock;1638804201.3938692
newblock;1638804201.476019
newblock;1638804201.556192
newblock;1638804201.648101
newblock;1638804201.7231958
newblock;1638804201.8034508
newblock;1638804201.888832
newblock;1638804201.9759161
newblock;1638804202.052685
newblock;1638804202.146673
newblock;1638804202.231227
newblock;1638804202.310946
newblock;1638804202.398043
newblock;1638804202.487966
newblock;1638804202.573527
newblock;1638804202.6783922
newblock;1638804202.7657511
newblock;1638804202.856571
newblock;1638804202.960535
newblock;1638804203.042219
newblock;1638804203.1261818
newblock;1638804203.227995
newblock;1638804203.324165
newblock;1638804203.411823
newblock;1638804203.523725
newblock;1638804203.611615
newblock;1638804203.701236
newblock;1638804203.799444
newblock;1638804203.891816
newblock;1638804204.02196
newblock;1638804204.198158
newblock;1638804204.438682
newblock;1638804204.638981
newblock;1638804204.813766
newblock;1638804204.9488971
newblock;1638804205.097004
newblock;1638804205.232487
newblock;1638804205.4390662
newblock;1638804205.5764291
newblock;1638804205.6947331
newblock;1638804205.794911
newblock;1638804205.8742862
newblock;1638804205.9751549
newblock;1638804206.084312
newblock;1638804206.192111
newblock;1638804206.352015
newblock;1638804206.4923892
newblock;1638804206.625728
newblock;1638804206.735435
newblock;1638804206.8745291
newblock;1638804206.9965818
newblock;1638804207.127594
newblock;1638804207.255575
newblock;1638804207.40435
newblock;1638804207.533686
newblock;1638804207.645662
newblock;1638804207.753449
newblock;1638804207.880244
newblock;1638804208.002571
newblock;1638804208.1430159
newblock;1638804208.276812
newblock;1638804208.397706
newblock;1638804208.520212
newblock;1638804208.608035
newblock;1638804208.690552
newblock;1638804208.789495
newblock;1638804208.866996
newblock;1638804208.948264
newblock;1638804209.038367
