replications;[10, 10, 10]
size;[3680, 8000, 10]
block size;[368, 800, 1]
start;1638810177.113847
creation;0.008028030395507812
create;1638810177.121889
newblock;1638810177.143095
newblock;1638810177.1559198
newblock;1638810177.168256
newblock;1638810177.179313
newblock;1638810177.1899588
newblock;1638810177.20156
newblock;1638810177.211522
newblock;1638810177.221783
newblock;1638810177.231711
newblock;1638810177.242173
newblock;1638810177.2540202
newblock;1638810177.267622
newblock;1638810177.317216
newblock;1638810177.338909
newblock;1638810177.3551779
newblock;1638810177.371676
newblock;1638810177.386693
newblock;1638810177.3995688
newblock;1638810177.413922
newblock;1638810177.427755
newblock;1638810177.440317
newblock;1638810177.454217
newblock;1638810177.4677079
newblock;1638810177.4783008
newblock;1638810177.490722
newblock;1638810177.506847
newblock;1638810177.521085
newblock;1638810177.531926
newblock;1638810177.543642
newblock;1638810177.556223
newblock;1638810177.566825
newblock;1638810177.577257
newblock;1638810177.587664
newblock;1638810177.5979168
newblock;1638810177.6077518
newblock;1638810177.617698
newblock;1638810177.62847
newblock;1638810177.6404328
newblock;1638810177.655896
newblock;1638810177.671979
newblock;1638810177.683639
newblock;1638810177.6962318
newblock;1638810177.711614
newblock;1638810177.7244911
newblock;1638810177.737084
newblock;1638810177.748899
newblock;1638810177.7604532
newblock;1638810177.774144
newblock;1638810177.786943
newblock;1638810177.799055
newblock;1638810177.812789
newblock;1638810177.829715
newblock;1638810177.841909
newblock;1638810177.8554518
newblock;1638810177.868056
newblock;1638810177.880848
newblock;1638810177.893715
newblock;1638810177.909194
newblock;1638810177.929292
newblock;1638810177.944247
newblock;1638810177.966392
newblock;1638810177.995144
newblock;1638810178.0165179
newblock;1638810178.037138
newblock;1638810178.052532
newblock;1638810178.0696309
newblock;1638810178.082315
newblock;1638810178.0955389
newblock;1638810178.1106172
newblock;1638810178.124371
newblock;1638810178.1420732
newblock;1638810178.163811
newblock;1638810178.177887
newblock;1638810178.192848
newblock;1638810178.20946
newblock;1638810178.2209458
newblock;1638810178.2333598
newblock;1638810178.2451699
newblock;1638810178.2590709
newblock;1638810178.2841852
newblock;1638810178.327759
newblock;1638810178.351923
newblock;1638810178.379146
newblock;1638810178.3947809
newblock;1638810178.414049
newblock;1638810178.427139
newblock;1638810178.4395761
newblock;1638810178.453989
newblock;1638810178.4670458
newblock;1638810178.480756
newblock;1638810178.495574
newblock;1638810178.5153768
newblock;1638810178.5341399
newblock;1638810178.54934
newblock;1638810178.571918
newblock;1638810178.587106
newblock;1638810178.6038451
newblock;1638810178.623474
newblock;1638810178.637779
newblock;1638810178.6509461
newblock;1638810178.6659489
newblock;1638810178.680171
newblock;1638810178.6933298
newblock;1638810178.711981
newblock;1638810178.7326899
newblock;1638810178.746654
newblock;1638810178.7633832
newblock;1638810178.7775118
newblock;1638810178.7932842
newblock;1638810178.8094661
newblock;1638810178.8254158
newblock;1638810178.838783
newblock;1638810178.852365
newblock;1638810178.8663769
newblock;1638810178.8813179
newblock;1638810178.895648
newblock;1638810178.9157171
newblock;1638810178.932595
newblock;1638810178.947705
newblock;1638810179.001128
newblock;1638810179.027134
newblock;1638810179.048599
newblock;1638810179.066276
newblock;1638810179.0810602
newblock;1638810179.096929
newblock;1638810179.113674
newblock;1638810179.135975
newblock;1638810179.163143
newblock;1638810179.183088
newblock;1638810179.202314
newblock;1638810179.2175019
newblock;1638810179.232743
newblock;1638810179.248705
newblock;1638810179.2649212
newblock;1638810179.291428
newblock;1638810179.33604
newblock;1638810179.375393
newblock;1638810179.391016
newblock;1638810179.413653
newblock;1638810179.432039
newblock;1638810179.449506
newblock;1638810179.469204
newblock;1638810179.485729
newblock;1638810179.507304
newblock;1638810179.533598
newblock;1638810179.5544388
newblock;1638810179.5751412
newblock;1638810179.5932758
newblock;1638810179.61317
newblock;1638810179.629475
newblock;1638810179.6453629
newblock;1638810179.662883
newblock;1638810179.677731
newblock;1638810179.6927109
newblock;1638810179.708972
newblock;1638810179.7247438
newblock;1638810179.7416708
newblock;1638810179.7632341
newblock;1638810179.78275
newblock;1638810179.799555
newblock;1638810179.818891
newblock;1638810179.844675
newblock;1638810179.870643
newblock;1638810179.900707
newblock;1638810179.923323
newblock;1638810179.949643
newblock;1638810179.9688919
newblock;1638810179.9862761
newblock;1638810180.006943
newblock;1638810180.0337338
newblock;1638810180.05809
newblock;1638810180.081434
newblock;1638810180.0988832
newblock;1638810180.119628
newblock;1638810180.137665
newblock;1638810180.1554408
newblock;1638810180.174431
newblock;1638810180.192756
newblock;1638810180.213911
newblock;1638810180.232846
newblock;1638810180.251887
newblock;1638810180.278562
newblock;1638810180.332903
newblock;1638810180.3653948
newblock;1638810180.395013
newblock;1638810180.4248772
newblock;1638810180.445633
newblock;1638810180.47068
newblock;1638810180.487967
newblock;1638810180.506208
newblock;1638810180.522064
newblock;1638810180.539108
newblock;1638810180.555475
newblock;1638810180.5726552
newblock;1638810180.589945
newblock;1638810180.614439
newblock;1638810180.63652
newblock;1638810180.663531
newblock;1638810180.6982222
newblock;1638810180.728993
newblock;1638810180.757532
newblock;1638810180.7804852
newblock;1638810180.805415
newblock;1638810180.829559
newblock;1638810180.8537018
newblock;1638810180.883921
newblock;1638810180.905911
newblock;1638810180.926879
newblock;1638810180.944273
newblock;1638810180.962951
newblock;1638810180.979419
newblock;1638810180.996938
newblock;1638810181.0145879
newblock;1638810181.037618
newblock;1638810181.060458
newblock;1638810181.080852
newblock;1638810181.103273
newblock;1638810181.123274
newblock;1638810181.144307
newblock;1638810181.171521
newblock;1638810181.189497
newblock;1638810181.209035
newblock;1638810181.2267709
newblock;1638810181.244224
newblock;1638810181.272109
newblock;1638810181.325079
newblock;1638810181.3739011
newblock;1638810181.41857
newblock;1638810181.445299
newblock;1638810181.47227
newblock;1638810181.491046
newblock;1638810181.518811
newblock;1638810181.5425658
newblock;1638810181.563987
newblock;1638810181.5845802
newblock;1638810181.6048079
newblock;1638810181.639387
newblock;1638810181.671584
newblock;1638810181.702427
newblock;1638810181.727597
newblock;1638810181.749501
newblock;1638810181.7755241
newblock;1638810181.795756
newblock;1638810181.8174238
newblock;1638810181.8378692
newblock;1638810181.863055
newblock;1638810181.884934
newblock;1638810181.910611
newblock;1638810181.943234
newblock;1638810181.974066
newblock;1638810181.99907
newblock;1638810182.025216
newblock;1638810182.046043
newblock;1638810182.076891
newblock;1638810182.101172
newblock;1638810182.12639
newblock;1638810182.1594722
newblock;1638810182.191287
newblock;1638810182.223459
newblock;1638810182.248996
newblock;1638810182.330555
newblock;1638810182.3680809
newblock;1638810182.3970308
newblock;1638810182.4360268
newblock;1638810182.4646652
newblock;1638810182.48639
newblock;1638810182.5109959
newblock;1638810182.534009
newblock;1638810182.565262
newblock;1638810182.59724
newblock;1638810182.638592
newblock;1638810182.674635
newblock;1638810182.711039
newblock;1638810182.746054
newblock;1638810182.788884
newblock;1638810182.823246
newblock;1638810182.856151
newblock;1638810182.897558
newblock;1638810182.940567
newblock;1638810182.964607
newblock;1638810182.986312
newblock;1638810183.0104032
newblock;1638810183.0335941
newblock;1638810183.0578759
newblock;1638810183.080297
newblock;1638810183.102029
newblock;1638810183.122775
newblock;1638810183.142548
newblock;1638810183.163143
newblock;1638810183.186404
newblock;1638810183.218124
newblock;1638810183.24585
newblock;1638810183.289566
newblock;1638810183.358667
newblock;1638810183.3951511
newblock;1638810183.4325812
newblock;1638810183.484469
newblock;1638810183.515033
newblock;1638810183.5493991
newblock;1638810183.57422
newblock;1638810183.593908
newblock;1638810183.616329
newblock;1638810183.64081
newblock;1638810183.672029
newblock;1638810183.762961
newblock;1638810183.801708
newblock;1638810183.831517
newblock;1638810183.861602
newblock;1638810183.886886
newblock;1638810183.9218528
newblock;1638810183.9516952
newblock;1638810183.974665
newblock;1638810183.9963038
newblock;1638810184.019697
newblock;1638810184.041615
newblock;1638810184.0722601
newblock;1638810184.098637
newblock;1638810184.13319
newblock;1638810184.161907
newblock;1638810184.1857688
newblock;1638810184.208972
newblock;1638810184.2318149
newblock;1638810184.254411
newblock;1638810184.307264
newblock;1638810184.369674
newblock;1638810184.4041789
newblock;1638810184.437091
newblock;1638810184.4855418
newblock;1638810184.5184178
newblock;1638810184.5527449
newblock;1638810184.585759
newblock;1638810184.615296
newblock;1638810184.644049
newblock;1638810184.667467
newblock;1638810184.688239
newblock;1638810184.72383
newblock;1638810184.774506
newblock;1638810184.814848
newblock;1638810184.850516
newblock;1638810184.877456
newblock;1638810184.901057
newblock;1638810184.9376352
newblock;1638810184.963884
newblock;1638810184.9899049
newblock;1638810185.0159428
newblock;1638810185.0403998
newblock;1638810185.064747
newblock;1638810185.084954
newblock;1638810185.109052
newblock;1638810185.13626
newblock;1638810185.16995
newblock;1638810185.194855
newblock;1638810185.226891
newblock;1638810185.253268
newblock;1638810185.294731
newblock;1638810185.345469
newblock;1638810185.3815029
newblock;1638810185.412812
newblock;1638810185.441292
newblock;1638810185.480912
newblock;1638810185.5207438
newblock;1638810185.551738
newblock;1638810185.583967
newblock;1638810185.6196458
newblock;1638810185.665025
newblock;1638810185.7065349
newblock;1638810185.7346401
newblock;1638810185.762892
newblock;1638810185.801034
newblock;1638810185.830258
newblock;1638810185.8596008
newblock;1638810185.889318
newblock;1638810185.9219499
newblock;1638810185.9452548
newblock;1638810185.97181
newblock;1638810185.9963148
newblock;1638810186.0249972
newblock;1638810186.0520918
newblock;1638810186.0845351
newblock;1638810186.112011
newblock;1638810186.136362
newblock;1638810186.16088
newblock;1638810186.186041
newblock;1638810186.217341
newblock;1638810186.248606
newblock;1638810186.30057
newblock;1638810186.3796852
newblock;1638810186.485923
newblock;1638810186.5323038
