replications;[2, 2, 130]
size;[736, 1600, 130]
block size:[128, 128, 128]
start;1638910398.280982
creation;0.009382963180541992
create;1638910398.2903738
0-newblock;0.07419681549072266
1-newblock;0.06119799613952637
2-newblock;0.058876991271972656
3-newblock;0.06530117988586426
4-newblock;0.06943988800048828
5-newblock;0.07550168037414551
6-newblock;0.06769704818725586
7-newblock;0.07347321510314941
8-newblock;0.0627908706665039
9-newblock;0.06823301315307617
10-newblock;0.0708322525024414
11-newblock;0.06681585311889648
12-newblock;0.06700682640075684
13-newblock;0.06504011154174805
14-newblock;0.07186412811279297
15-newblock;0.06418418884277344
16-newblock;0.06744694709777832
17-newblock;0.06237173080444336
18-newblock;0.07047176361083984
19-newblock;0.09107398986816406
20-newblock;0.08112502098083496
21-newblock;0.07945871353149414
22-newblock;0.0751957893371582
23-newblock;0.07799124717712402
24-newblock;0.07330822944641113
25-newblock;0.07341217994689941
26-newblock;0.07152199745178223
27-newblock;0.07505512237548828
28-newblock;0.07442116737365723
29-newblock;0.06899094581604004
30-newblock;0.07108473777770996
31-newblock;0.07257080078125
32-newblock;0.06384468078613281
33-newblock;0.0752723217010498
34-newblock;0.07743597030639648
35-newblock;0.07556891441345215
36-newblock;0.07685708999633789
37-newblock;0.06830620765686035
38-newblock;0.06972193717956543
39-newblock;0.0750579833984375
40-newblock;0.06515121459960938
41-newblock;0.07545804977416992
42-newblock;0.07200503349304199
43-newblock;0.09697103500366211
44-newblock;0.08034110069274902
45-newblock;0.0727238655090332
46-newblock;0.06953287124633789
47-newblock;0.06770706176757812
48-newblock;0.07612013816833496
49-newblock;0.07273292541503906
50-newblock;0.07447600364685059
51-newblock;0.06870913505554199
52-newblock;0.07680583000183105
53-newblock;0.07488274574279785
54-newblock;0.07339596748352051
55-newblock;0.07043194770812988
56-newblock;0.07108879089355469
57-newblock;0.07773590087890625
58-newblock;0.06908798217773438
59-newblock;0.06441283226013184
60-newblock;0.06680798530578613
61-newblock;0.07329225540161133
62-newblock;0.07583403587341309
63-newblock;0.06905293464660645
64-newblock;0.07027816772460938
65-newblock;0.06759500503540039
66-newblock;0.07445621490478516
67-newblock;0.07216119766235352
68-newblock;0.0691988468170166
69-newblock;0.07740998268127441
70-newblock;0.07912588119506836
71-newblock;0.07393193244934082
72-newblock;0.07145380973815918
73-newblock;0.06787395477294922
74-newblock;0.07361364364624023
75-newblock;0.08297514915466309
76-newblock;0.07285404205322266
77-newblock;0.07776308059692383
78-newblock;0.06982588768005371
79-newblock;0.07903909683227539
80-newblock;0.07571601867675781
81-newblock;0.06982612609863281
82-newblock;0.0791020393371582
83-newblock;0.0715179443359375
84-newblock;0.07493185997009277
85-newblock;0.07387399673461914
86-newblock;0.07079195976257324
87-newblock;0.07251310348510742
88-newblock;0.07088518142700195
89-newblock;0.06700491905212402
90-newblock;0.06607794761657715
91-newblock;0.07254815101623535
92-newblock;0.07253289222717285
93-newblock;0.06945323944091797
94-newblock;0.08101105690002441
95-newblock;0.07321500778198242
96-newblock;0.07899975776672363
97-newblock;0.07032561302185059
98-newblock;0.07403993606567383
99-newblock;0.0705559253692627
100-newblock;0.07511782646179199
101-newblock;0.0733649730682373
102-newblock;0.06733918190002441
103-newblock;0.07393717765808105
104-newblock;0.0693509578704834
105-newblock;0.0750131607055664
106-newblock;0.07110118865966797
107-newblock;0.07704496383666992
108-newblock;0.066680908203125
109-newblock;0.06862711906433105
110-newblock;0.07586193084716797
111-newblock;0.07111811637878418
112-newblock;0.06979489326477051
113-newblock;0.0690617561340332
114-newblock;0.0671849250793457
115-newblock;0.07415318489074707
116-newblock;0.0732119083404541
117-newblock;0.07039403915405273
118-newblock;0.07515788078308105
119-newblock;0.07920980453491211
120-newblock;0.06682324409484863
121-newblock;0.07004809379577637
122-newblock;0.07306790351867676
123-newblock;0.07449483871459961
124-newblock;0.08744287490844727
125-newblock;0.07236504554748535
126-newblock;0.07868003845214844
127-newblock;0.0737299919128418
128-newblock;0.07923197746276855
129-newblock;0.07697582244873047
130-newblock;0.0874631404876709
131-newblock;0.07253623008728027
132-newblock;0.06931519508361816
133-newblock;0.07827591896057129
134-newblock;0.07677507400512695
135-newblock;0.1374669075012207
136-newblock;0.08035802841186523
137-newblock;0.07740402221679688
138-newblock;0.07436704635620117
139-newblock;0.07131075859069824
140-newblock;0.07465791702270508
141-newblock;0.07757019996643066
142-newblock;0.07831597328186035
143-newblock;0.0763859748840332
144-newblock;0.07193803787231445
145-newblock;0.07407999038696289
146-newblock;0.06831622123718262
147-newblock;0.06669282913208008
148-newblock;0.07417178153991699
149-newblock;0.08455014228820801
150-newblock;0.08209514617919922
