replications;[1, 1, 130]
size;[368, 800, 130]
block size;[128, 128, 128]
start;1639062406.5496151
creation;0.00431370735168457
create;1639062406.553941
0;0.05459403991699219
1;0.06636381149291992
2;0.06456613540649414
3;0.06359124183654785
4;0.06842303276062012
5;0.054077863693237305
6;0.05434298515319824
7;0.06618595123291016
8;0.0833432674407959
9;0.06176471710205078
10;0.05517697334289551
11;0.06305527687072754
12;0.05545401573181152
13;0.055396080017089844
14;0.06522107124328613
15;0.0673978328704834
16;0.05892801284790039
17;0.052236080169677734
18;0.05394101142883301
19;0.05701708793640137
20;0.06273913383483887
21;0.06443405151367188
22;0.0677640438079834
23;0.08186697959899902
24;0.06909990310668945
25;0.07139301300048828
26;0.06536698341369629
27;0.07498788833618164
28;0.061678171157836914
29;0.057312965393066406
30;0.0720829963684082
31;0.07981514930725098
32;0.075653076171875
33;0.06446290016174316
34;0.0732429027557373
35;0.07719087600708008
36;0.10463786125183105
37;0.0888059139251709
38;0.07682585716247559
39;0.08965587615966797
40;0.09788179397583008
41;0.08871698379516602
42;0.0899960994720459
43;0.09252309799194336
44;0.07875609397888184
45;0.07945084571838379
46;0.08405685424804688
47;0.0726158618927002
48;0.08043575286865234
49;0.07525014877319336
50;0.07680225372314453
51;0.07424616813659668
52;0.0702362060546875
53;0.09120011329650879
54;0.08440804481506348
55;0.08426785469055176
56;0.08215594291687012
57;0.08021926879882812
58;0.08118414878845215
59;0.07917475700378418
60;0.07786703109741211
61;0.08016395568847656
62;0.0843210220336914
63;0.07979702949523926
64;0.07901692390441895
65;0.08170509338378906
66;0.08156228065490723
67;0.08282899856567383
68;0.06882810592651367
69;0.0673379898071289
70;0.0782158374786377
71;0.07746005058288574
72;0.07395815849304199
73;0.07415294647216797
74;0.07496500015258789
75;0.07746696472167969
76;0.0793759822845459
77;0.07452917098999023
78;0.0679769515991211
79;0.07201004028320312
80;0.07667994499206543
81;0.0742790699005127
82;0.07635092735290527
83;0.0751800537109375
84;0.07354617118835449
85;0.07372903823852539
86;0.07697606086730957
87;0.07694005966186523
88;0.08230805397033691
89;0.08304619789123535
90;0.09282302856445312
91;0.10156106948852539
92;0.07599997520446777
93;0.08514213562011719
94;0.07782506942749023
95;0.07987689971923828
96;0.0826270580291748
97;0.15854597091674805
98;0.09492611885070801
99;0.08372879028320312
100;0.08060383796691895
101;0.11760210990905762
102;0.08397102355957031
103;0.0747981071472168
104;0.0776829719543457
105;0.0713810920715332
106;0.06820321083068848
107;0.07931184768676758
108;0.07407999038696289
109;0.06382513046264648
110;0.07383418083190918
111;0.07895874977111816
112;0.07516288757324219
113;0.07486510276794434
114;0.07203888893127441
115;0.0739591121673584
116;0.07206201553344727
117;0.07435488700866699
118;0.07515501976013184
119;0.07449007034301758
120;0.07421183586120605
121;0.0733041763305664
122;0.0734860897064209
123;0.07358121871948242
124;0.07519888877868652
125;0.0793299674987793
126;0.07993221282958984
127;0.06441974639892578
128;0.04592299461364746
129;0.07258009910583496
done;1639062416.385281
size;1195379
replications;[1, 1, 130]
size;[368, 800, 130]
block size;[128, 128, 128]
start;1639062449.374052
creation;0.0027420520782470703
create;1639062449.3767989
0;0.04045724868774414
1;0.05818009376525879
2;0.05772209167480469
3;0.05798602104187012
4;0.06540727615356445
5;0.06597304344177246
6;0.059960126876831055
7;0.06549715995788574
8;0.06627821922302246
9;0.059355974197387695
10;0.05542302131652832
11;0.06120014190673828
12;0.06714701652526855
13;0.0534820556640625
14;0.05205106735229492
15;0.05834007263183594
16;0.061303138732910156
17;0.06460690498352051
18;0.06625509262084961
